"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","356","test_valid_URL[chrome]","","2026-04-14","passed","2026-04-14","TestScenario","test_project1_execution","",""
"","244","test_validate_title[firefox]","","2026-04-14","passed","2026-04-14","TestScenario","test_project1_execution","",""
"","907","test_validate_menu_items[firefox]","","2026-04-14","passed","2026-04-14","TestScenario","test_project1_execution","",""
"","7728","test_validation_of_login_button[chrome]","","2026-04-14","passed","2026-04-14","TestScenario","test_project1_execution","",""
"","6435","test_validate_dobby_assistant[firefox]","","2026-04-14","passed","2026-04-14","TestScenario","test_project1_execution","",""
"","3405","test_invalid_login[chrome]","","2026-04-14","passed","2026-04-14","TestScenario","test_project1_execution","",""
"","513","test_logout[firefox]","","2026-04-14","passed","2026-04-14","TestScenario","test_project1_execution","",""
"","10093","test_validation_of_login_button[firefox]","","2026-04-14","passed","2026-04-14","TestScenario","test_project1_execution","",""
"","2949","test_validation_of_Sign_Up_button[chrome]","","2026-04-14","passed","2026-04-14","TestScenario","test_project1_execution","",""
"","5013","test_validation_of_Sign_In_via_Sign_Up_button[firefox]","","2026-04-14","passed","2026-04-14","TestScenario","test_project1_execution","",""
"","590","test_validate_menu_items[chrome]","","2026-04-14","passed","2026-04-14","TestScenario","test_project1_execution","",""
"","376","test_valid_URL[firefox]","","2026-04-14","passed","2026-04-14","TestScenario","test_project1_execution","",""
"","1676","test_logout[chrome]","","2026-04-14","passed","2026-04-14","TestScenario","test_project1_execution","",""
"","4030","test_invalid_login[firefox]","","2026-04-14","passed","2026-04-14","TestScenario","test_project1_execution","",""
"","6683","test_validation_of_Sign_Up_button[firefox]","","2026-04-14","passed","2026-04-14","TestScenario","test_project1_execution","",""
"","2796","test_valid_login[chrome]","","2026-04-14","passed","2026-04-14","TestScenario","test_project1_execution","",""
"","2471","test_validation_of_Sign_In_via_Sign_Up_button[chrome]","","2026-04-14","passed","2026-04-14","TestScenario","test_project1_execution","",""
"","2467","test_valid_login[firefox]","","2026-04-14","passed","2026-04-14","TestScenario","test_project1_execution","",""
"","297","test_validate_title[chrome]","","2026-04-14","passed","2026-04-14","TestScenario","test_project1_execution","",""
"","6231","test_validate_dobby_assistant[chrome]","","2026-04-14","passed","2026-04-14","TestScenario","test_project1_execution","",""
